SAOACTVA Outdoor recreation activities - value added 1
SAOACTVA Outdoor recreation activities - value added 1
State or DC
GeoFIPS,GeoName,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
08000,Colorado,772870,848508,1023835,1148105,1193478,1195056,1225802,1229744,853936,988257,1433813,1562853,1579512
16000,Idaho,46782,49952,58364,63527,70310,78356,86831,95509,75729,87555,122267,140072,138747
30000,Montana,31741,28647,34216,34957,37638,41229,43274,47030,42554,53564,75386,82346,77863
35000,New Mexico,37496,39206,45473,49782,55615,62829,67433,75055,55082,63820,87987,97425,96971
49000,Utah,238513,250415,288358,312302,350151,387799,423757,453739,341295,392232,540187,601271,598196
56000,Wyoming,14731,15060,17409,18282,19458,25017,27159,29232,27912,33318,42986,48825,46897

Legend/Footnotes
"1. State outdoor recreation statistics isolate the economic activity associated with outdoor recreation spending and production in a state's economy. The state-level statistics are an extension of the national industry outdoor recreation statistics. The concepts, definitions, and methodology used to produce state-level statistics are consistent with the national industry concepts, definitions, and methodology."
Note. Estimates may not add to totals due to rounding. All dollar estimates are in thousands of current dollars (not adjusted for inflation). Statistics presented in thousands of dollars do not indicate more precision than statistics presented in millions of dollars.
"  Last updated: March 5, 2026-- new statistics for 2024; revised statistics for 2020-2023."
